time,epoch,batch,loss,cost
0min0sec,0,0,4.547,16.142
0min3sec,0,10,44.600,15.219
0min3sec,0,20,42.517,14.640
0min3sec,0,30,44.687,13.970
0min3sec,0,40,45.648,13.173
0min3sec,0,50,43.264,12.402
0min3sec,0,60,38.577,11.750
0min3sec,0,70,34.066,11.225
0min3sec,0,80,30.162,10.810
0min3sec,0,90,27.123,10.469
0min3sec,0,100,24.550,10.185
0min3sec,0,110,22.354,9.950
0min3sec,0,120,20.538,9.751
0min3sec,0,130,19.058,9.575
0min3sec,0,140,17.760,9.420
0min3sec,0,150,16.592,9.283
0min3sec,0,160,15.540,9.164
0min3sec,0,170,14.652,9.057
0min3sec,0,180,13.862,8.959
0min3sec,0,190,13.169,8.869
0min3sec,0,200,12.475,8.788
0min3sec,0,210,11.879,8.714
0min3sec,0,220,11.328,8.647
0min3sec,0,230,10.871,8.583
0min3sec,0,240,10.390,8.524
0min3sec,0,250,9.967,8.471
0min3sec,0,260,9.569,8.420
0min3sec,0,270,9.219,8.373
0min3sec,0,280,8.903,8.327
0min3sec,0,290,8.564,8.286
0min3sec,0,300,8.288,8.246
0min3sec,0,310,7.988,8.209
0min3sec,0,320,7.737,8.174
0min3sec,0,330,7.510,8.140
0min3sec,0,340,7.283,8.108
0min3sec,0,350,7.067,8.078
0min3sec,0,360,6.847,8.049
0min3sec,0,370,6.650,8.022
0min3sec,0,380,6.449,7.997
0min3sec,0,390,6.291,7.973
0min3sec,0,400,6.107,7.950
0min3sec,0,410,5.956,7.928
0min3sec,0,420,5.804,7.906
0min3sec,0,430,5.657,7.886
0min3sec,0,440,5.528,7.865
0min3sec,0,450,5.387,7.845
0min3sec,0,460,5.245,7.827
0min3sec,0,470,5.119,7.808
0min3sec,0,480,5.004,7.790
0min3sec,0,490,4.892,7.773
0min3sec,0,500,4.778,7.756
0min3sec,0,510,4.683,7.740
0min3sec,0,520,4.577,7.725
0min3sec,0,530,4.479,7.710
0min3sec,0,540,4.386,7.695
0min3sec,0,550,4.300,7.681
0min3sec,0,560,4.224,7.667
0min3sec,0,570,4.139,7.653
0min3sec,0,580,4.063,7.640
0min3sec,0,590,3.988,7.627
0min3sec,0,600,3.918,7.614
0min3sec,0,610,3.851,7.602
0min3sec,0,620,3.787,7.590
0min3sec,0,630,3.698,7.579
0min3sec,0,640,3.633,7.568
0min3sec,0,650,3.581,7.557
0min3sec,0,660,3.509,7.546
0min3sec,0,670,3.452,7.535
0min3sec,0,680,3.389,7.525
0min3sec,0,690,3.329,7.515
0min3sec,0,700,3.273,7.506
0min3sec,0,710,3.211,7.497
0min3sec,0,720,3.160,7.487
0min3sec,0,730,3.096,7.478
0min3sec,0,740,3.055,7.470
0min3sec,0,750,3.008,7.461
0min3sec,0,760,2.961,7.453
0min3sec,0,770,2.913,7.445
0min2sec,0,780,2.874,7.436
0min2sec,0,790,2.828,7.429
0min3sec,0,800,2.787,7.421
0min3sec,0,810,2.741,7.413
0min3sec,0,820,2.700,7.406
0min3sec,0,830,2.663,7.398
0min3sec,0,840,2.623,7.391
0min3sec,0,850,2.583,7.385
0min3sec,0,860,2.553,7.378
0min3sec,0,870,2.520,7.371
0min3sec,0,880,2.486,7.364
0min2sec,0,890,2.456,7.357
0min3sec,0,900,2.428,7.350
0min3sec,0,910,2.387,7.344
0min3sec,0,920,2.357,7.338
0min2sec,0,930,2.331,7.331
0min3sec,0,940,2.305,7.325
0min3sec,0,950,2.273,7.318
0min3sec,0,960,2.234,7.313
0min3sec,0,970,2.210,7.306
0min3sec,0,980,2.182,7.300
0min3sec,0,990,2.160,7.294
0min3sec,0,1000,2.134,7.288
0min3sec,0,1010,2.103,7.283
0min3sec,0,1020,2.081,7.277
0min2sec,0,1030,2.057,7.271
0min2sec,0,1040,2.033,7.266
0min3sec,0,1050,2.008,7.261
0min2sec,0,1060,1.985,7.255
0min2sec,0,1070,1.962,7.250
0min3sec,0,1080,1.940,7.245
0min3sec,0,1090,1.917,7.241
0min3sec,0,1100,1.899,7.236
0min3sec,0,1110,1.872,7.231
0min3sec,0,1120,1.850,7.227
0min3sec,0,1130,1.831,7.222
0min3sec,0,1140,1.814,7.218
0min2sec,0,1150,1.793,7.213
0min3sec,0,1160,1.778,7.209
0min3sec,0,1170,1.762,7.204
0min2sec,0,1180,1.740,7.199
0min3sec,0,1190,1.719,7.195
0min3sec,0,1200,1.703,7.191
0min3sec,0,1210,1.686,7.187
0min2sec,0,1220,1.668,7.183
0min3sec,0,1230,1.653,7.179
0min3sec,0,1240,1.632,7.175
0min3sec,0,1250,1.614,7.171
0min3sec,0,1260,1.597,7.167
0min3sec,0,1270,1.583,7.163
0min3sec,0,1280,1.567,7.159
0min3sec,0,1290,1.555,7.155
0min3sec,0,1300,1.539,7.151
0min3sec,0,1310,1.528,7.147
0min2sec,0,1320,1.514,7.143
0min3sec,0,1330,1.500,7.139
0min2sec,0,1340,1.486,7.135
0min3sec,0,1350,1.470,7.131
0min3sec,0,1360,1.453,7.128
0min3sec,0,1370,1.439,7.124
0min3sec,0,1380,1.426,7.121
0min3sec,0,1390,1.413,7.117
0min3sec,0,1400,1.401,7.114
0min3sec,0,1410,1.390,7.111
0min3sec,0,1420,1.379,7.107
0min3sec,0,1430,1.368,7.104
0min3sec,0,1440,1.360,7.101
0min3sec,0,1450,1.346,7.098
0min3sec,0,1460,1.333,7.095
0min3sec,0,1470,1.322,7.092
0min3sec,0,1480,1.308,7.089
0min3sec,0,1490,1.300,7.085
0min2sec,0,1500,1.289,7.082
0min3sec,0,1510,1.275,7.079
0min3sec,0,1520,1.267,7.076
0min3sec,0,1530,1.259,7.073
0min3sec,0,1540,1.250,7.070
0min2sec,0,1550,1.237,7.067
0min2sec,0,1560,1.223,7.064
0min2sec,0,1570,1.215,7.061
0min3sec,0,1580,1.204,7.058
0min3sec,0,1590,1.198,7.055
0min2sec,0,1600,1.182,7.053
0min2sec,0,1610,1.172,7.050
0min3sec,0,1620,1.154,7.048
0min2sec,0,1630,1.140,7.045
0min3sec,0,1640,1.131,7.043
0min3sec,0,1650,1.124,7.040
0min3sec,0,1660,1.115,7.037
0min2sec,0,1670,1.103,7.035
0min2sec,0,1680,1.092,7.032
0min3sec,0,1690,1.085,7.030
0min2sec,0,1700,1.077,7.027
0min2sec,0,1710,1.069,7.025
0min3sec,0,1720,1.061,7.022
0min3sec,0,1730,1.052,7.020
0min2sec,0,1740,1.045,7.018
0min2sec,0,1750,1.039,7.015
0min3sec,0,1760,1.033,7.012
0min3sec,0,1770,1.023,7.010
0min3sec,0,1780,1.016,7.007
0min3sec,0,1790,1.010,7.005
0min3sec,0,1800,1.004,7.002
0min3sec,0,1810,0.996,7.000
0min3sec,0,1820,0.985,6.998
0min3sec,0,1830,0.979,6.995
0min3sec,0,1840,0.970,6.993
0min3sec,0,1850,0.962,6.991
0min3sec,0,1860,0.955,6.989
0min2sec,0,1870,0.949,6.987
0min3sec,0,1880,0.943,6.984
0min3sec,0,1890,0.936,6.982
0min3sec,0,1900,0.929,6.980
0min2sec,0,1910,0.924,6.978
0min3sec,0,1920,0.917,6.975
0min2sec,0,1930,0.909,6.973
0min3sec,0,1940,0.901,6.971
0min2sec,0,1950,0.894,6.969
0min2sec,0,1960,0.886,6.966
0min3sec,0,1970,0.878,6.964
0min3sec,0,1980,0.869,6.963
0min3sec,0,1990,0.864,6.960
0min3sec,0,2000,0.859,6.958
0min3sec,0,2010,0.855,6.956
0min3sec,0,2020,0.850,6.954
0min3sec,0,2030,0.842,6.952
0min3sec,0,2040,0.832,6.950
0min3sec,0,2050,0.826,6.948
0min2sec,0,2060,0.821,6.946
0min2sec,0,2070,0.815,6.944
0min3sec,0,2080,0.806,6.943
0min3sec,0,2090,0.799,6.941
0min2sec,0,2100,0.793,6.939
0min3sec,0,2110,0.786,6.937
0min3sec,0,2120,0.781,6.935
0min2sec,0,2130,0.776,6.934
0min2sec,0,2140,0.771,6.932
0min2sec,0,2150,0.766,6.930
0min3sec,0,2160,0.759,6.928
0min2sec,0,2170,0.755,6.926
0min3sec,0,2180,0.748,6.925
0min3sec,0,2190,0.745,6.923
0min2sec,0,2200,0.739,6.921
0min2sec,0,2210,0.732,6.919
0min3sec,0,2220,0.725,6.917
0min3sec,0,2230,0.721,6.915
0min3sec,0,2240,0.718,6.914
0min3sec,0,2250,0.713,6.912
0min3sec,0,2260,0.705,6.910
0min2sec,0,2270,0.702,6.909
0min3sec,0,2280,0.698,6.907
0min3sec,0,2290,0.694,6.905
0min2sec,0,2300,0.690,6.903
0min3sec,0,2310,0.686,6.902
0min3sec,0,2320,0.682,6.900
0min3sec,0,2330,0.676,6.898
0min3sec,0,2340,0.673,6.897
0min3sec,0,2350,0.669,6.895
0min3sec,0,2360,0.665,6.893
0min2sec,0,2370,0.660,6.891
0min2sec,0,2380,0.655,6.890
0min2sec,0,2390,0.651,6.888
0min3sec,0,2400,0.649,6.887
0min3sec,0,2410,0.645,6.885
0min3sec,0,2420,0.641,6.883
0min3sec,0,2430,0.638,6.882
0min2sec,0,2440,0.633,6.880
0min2sec,0,2450,0.630,6.879
0min2sec,0,2460,0.626,6.877
0min3sec,0,2470,0.621,6.876
0min2sec,0,2480,0.616,6.874
0min2sec,0,2490,0.612,6.873
2min29sec,1,0,-7.609,6.565
0min3sec,1,10,-7.024,6.528
0min3sec,1,20,-7.746,6.553
0min2sec,1,30,-7.482,6.551
0min3sec,1,40,-7.573,6.553
0min3sec,1,50,-7.721,6.557
0min3sec,1,60,-7.998,6.564
0min3sec,1,70,-8.161,6.567
0min2sec,1,80,-8.042,6.564
0min3sec,1,90,-8.088,6.565
0min3sec,1,100,-7.961,6.561
0min3sec,1,110,-7.903,6.560
0min3sec,1,120,-7.986,6.562
0min3sec,1,130,-7.946,6.561
0min3sec,1,140,-8.086,6.563
0min3sec,1,150,-8.202,6.565
0min3sec,1,160,-8.271,6.564
0min3sec,1,170,-8.192,6.563
0min3sec,1,180,-8.207,6.564
0min2sec,1,190,-8.202,6.565
0min3sec,1,200,-8.152,6.564
0min2sec,1,210,-8.114,6.563
0min2sec,1,220,-8.053,6.562
0min2sec,1,230,-8.021,6.562
0min3sec,1,240,-8.016,6.562
0min3sec,1,250,-7.990,6.562
0min3sec,1,260,-7.943,6.561
0min3sec,1,270,-7.911,6.560
0min2sec,1,280,-7.811,6.557
0min2sec,1,290,-7.729,6.555
0min2sec,1,300,-7.641,6.553
0min2sec,1,310,-7.578,6.552
0min2sec,1,320,-7.494,6.550
0min3sec,1,330,-7.426,6.548
0min2sec,1,340,-7.368,6.547
0min2sec,1,350,-7.326,6.547
0min3sec,1,360,-7.291,6.546
0min2sec,1,370,-7.304,6.547
0min3sec,1,380,-7.320,6.547
0min2sec,1,390,-7.313,6.547
0min3sec,1,400,-7.285,6.547
0min3sec,1,410,-7.244,6.546
0min2sec,1,420,-7.215,6.545
0min3sec,1,430,-7.219,6.545
0min3sec,1,440,-7.201,6.545
0min3sec,1,450,-7.190,6.544
0min3sec,1,460,-7.189,6.544
0min3sec,1,470,-7.188,6.544
0min3sec,1,480,-7.207,6.545
0min2sec,1,490,-7.194,6.545
0min3sec,1,500,-7.192,6.545
0min3sec,1,510,-7.177,6.545
0min3sec,1,520,-7.177,6.545
0min3sec,1,530,-7.206,6.545
0min3sec,1,540,-7.202,6.546
0min3sec,1,550,-7.208,6.546
0min2sec,1,560,-7.193,6.545
0min3sec,1,570,-7.191,6.545
0min2sec,1,580,-7.180,6.545
0min3sec,1,590,-7.195,6.546
0min3sec,1,600,-7.204,6.546
0min3sec,1,610,-7.195,6.546
0min2sec,1,620,-7.193,6.546
0min2sec,1,630,-7.188,6.546
0min3sec,1,640,-7.198,6.546
0min3sec,1,650,-7.205,6.547
0min3sec,1,660,-7.196,6.547
0min3sec,1,670,-7.178,6.547
0min3sec,1,680,-7.170,6.547
0min3sec,1,690,-7.156,6.547
0min3sec,1,700,-7.140,6.546
0min3sec,1,710,-7.132,6.546
0min3sec,1,720,-7.134,6.546
0min3sec,1,730,-7.143,6.547
0min3sec,1,740,-7.131,6.546
0min3sec,1,750,-7.116,6.546
0min3sec,1,760,-7.103,6.545
0min3sec,1,770,-7.078,6.544
0min3sec,1,780,-7.068,6.544
0min3sec,1,790,-7.059,6.544
0min3sec,1,800,-7.058,6.544
0min3sec,1,810,-7.079,6.544
0min3sec,1,820,-7.100,6.545
0min3sec,1,830,-7.120,6.545
0min3sec,1,840,-7.116,6.545
0min2sec,1,850,-7.110,6.545
0min2sec,1,860,-7.109,6.545
0min3sec,1,870,-7.113,6.545
0min2sec,1,880,-7.106,6.545
0min3sec,1,890,-7.091,6.545
0min2sec,1,900,-7.080,6.544
0min2sec,1,910,-7.067,6.544
0min3sec,1,920,-7.054,6.544
0min3sec,1,930,-7.057,6.544
0min3sec,1,940,-7.058,6.544
0min3sec,1,950,-7.051,6.544
0min3sec,1,960,-7.044,6.543
0min3sec,1,970,-7.031,6.543
0min3sec,1,980,-7.017,6.543
0min3sec,1,990,-7.016,6.542
0min2sec,1,1000,-7.014,6.542
0min3sec,1,1010,-7.013,6.542
0min3sec,1,1020,-7.019,6.542
0min3sec,1,1030,-7.010,6.542
0min3sec,1,1040,-7.003,6.542
0min3sec,1,1050,-7.001,6.542
0min2sec,1,1060,-6.998,6.542
0min3sec,1,1070,-6.985,6.542
0min2sec,1,1080,-6.978,6.542
0min2sec,1,1090,-6.976,6.541
0min2sec,1,1100,-6.974,6.542
0min3sec,1,1110,-6.971,6.542
0min2sec,1,1120,-6.963,6.541
0min3sec,1,1130,-6.970,6.541
0min3sec,1,1140,-7.014,6.542
0min3sec,1,1150,-7.014,6.542
0min3sec,1,1160,-7.010,6.541
0min3sec,1,1170,-7.008,6.541
0min3sec,1,1180,-6.997,6.541
0min2sec,1,1190,-6.979,6.540
